"Microservice", "Technique", "fail", "test", "rate"
1,bBOXRT,0,190,0
1,RESTLer,0,4109,0
1,EvoMaster,0,1725,0
1,RTG,0,115,0
1,uTest_pw,0,4,0
1,uTest_pwv,0,4,0
1,uTest_bv,0,2,0
1,uTest_bi,0,2,0
2,bBOXRT,20,929,.0215
2,RESTLer,31,134,.2313
2,EvoMaster,418,2637,.1585
2,RTG,48,250,.1920
2,uTest_pw,46,56,.8214
2,uTest_pwv,46,56,.8214
2,uTest_bv,1,5,.2000
2,uTest_bi,1,5,.2000
3,bBOXRT,200,365,.5479
3,RESTLer,4,18,.2222
3,EvoMaster,837,2053,.4076
3,RTG,49,100,.4900
3,uTest_pw,1,4,.2500
3,uTest_pwv,2,4,.5000
3,uTest_bv,1,2,.5000
3,uTest_bi,0,2,0
4,bBOXRT,20,464,.0431
4,RESTLer,63,230,.2739
4,EvoMaster,840,1792,.4687
4,RTG,4,40,.1000
4,uTest_pw,0,8,0
4,uTest_pwv,0,8,0
4,uTest_bv,0,2,0
4,uTest_bi,0,2,0
5,bBOXRT,0,71,0
5,RESTLer,0,2850,0
5,EvoMaster,0,1891,0
5,RTG,0,80,0
5,uTest_pw,0,2,0
5,uTest_pwv,0,2,0
5,uTest_bv,0,1,0
5,uTest_bi,0,1,0
6,bBOXRT,6,151,.0397
6,RESTLer,0,2791,0
6,EvoMaster,41,1092,.0375
6,RTG,0,130,0
6,uTest_pw,1,4,.2500
6,uTest_pwv,0,4,0
6,uTest_bv,0,2,0
6,uTest_bi,1,2,.5000
7,bBOXRT,0,217,0
7,RESTLer,0,7562,0
7,EvoMaster,0,2155,0
7,RTG,0,130,0
7,uTest_pw,0,4,0
7,uTest_pwv,0,4,0
7,uTest_bv,0,2,0
7,uTest_bi,0,2,0